day,time,artist,album,type,title,spotify,apple,year,month
1st,12:00,Yesung (Super Junior) X Cheon Dan Bi,"Today, a bit more",digital single,"Today, a bit more",None,http://apple.co/2wtbCDH,2017,8
1st,18:00,Apple.B,Woochuchu,debut digital single,Woochuchu,https://play.spotify.com/album/5XzZWqCCbgnZzxnS9Z0WXH,http://apple.co/2x23K9X,2017,8
1st,18:00,Gfriend,Parallel,mini album,Love Whisper,https://play.spotify.com/album/2cGPXPXZxEBr6LniuA3ewf,http://apple.co/2wduWVy,2017,8
1st,18:00,Joo Won Tak,Baby Goodnight,fan song,Baby Goodnight (ft. Suyeon of A.De),https://play.spotify.com/album/7DjGTXglP5WxgWYIXk5mbt,http://apple.co/2vd3uTC,2017,8
1st,18:00,Park Kyung (Block B),Space Oddity Project Vol.1,digital single,WIPED,https://play.spotify.com/album/4MLjhbngkk4plmxmi8ZwAi,http://apple.co/2uTGf5L,2017,8
2nd,0:00,SF9,Easy Love,Japanese single album,Easy Love,https://play.spotify.com/album/6XDUmZsyIFwQpnndwBRzLW,None,2017,8
2nd,12:00,ONF,ON/OFF,debut mini album,ON/OFF,https://play.spotify.com/album/5LXE3uv4h0im6sPvMG89pG,http://apple.co/2fW3k0C,2017,8
2nd,16:00,Samuel,Sixteen,debut mini album,Sixteen (feat. Changmo),https://play.spotify.com/album/37Jg3LrnbKrMxNT5RjgUGt,http://apple.co/2vONhaw,2017,8
2nd,18:00,N.Flying,THE REAL: N.Flying,mini album,THE REAL,https://play.spotify.com/album/4xUc0Rh3ULTblrirfHnwKu,http://apple.co/2ifCYHR,2017,8
3rd,12:00,AA,Flex,debut digital single,FLEX,None,http://apple.co/2ihmiQo,2017,8
3rd,12:00,THE ROSE,Sorry,debut digital single,Sorry,https://play.spotify.com/album/6D48tHXsa6LzoViDIACdkt,http://apple.co/2x2qyWW,2017,8
3rd,12:00,Tritops,zinnia,digital single,zinnia,https://play.spotify.com/album/5gdvjzqr2SFchJE2WTJp9j,http://apple.co/2vOkBhQ,2017,8
3rd,18:00,CLC,FREE'SM,mini album,Where are You?,https://play.spotify.com/album/4UXgZzt4Zbc4Vg4Ll61ZXh,http://apple.co/2ihLbuW,2017,8
3rd,18:00,Nine Muses,Muses Diary Part.3 LOVE CITY,repackage mini album,LOVE CITY,https://play.spotify.com/album/7wDJe5Y34uwZW7sNNTnlxx,http://apple.co/2wsQ8H9,2017,8
3rd,18:00,"Huh Gak, Apink, VICTON",Plan A Third Episode,Plan A project single,OASIS,https://play.spotify.com/album/1BNyLtvQCyyCYSUAaLnElz,http://apple.co/2vP8Yr1,2017,8
4th,12:00,B.HEART,Summer Night,digital single,Summer Night (feat. Eunji),https://play.spotify.com/album/2SJuhkogza07uS98HZwZqU,None,2017,8
4th,12:00,Drug Restaurant,Pomade,mini album,Drink O2 in the Water,None,http://apple.co/2uUe6vc,2017,8
4th,12:00,Primary,New Generation,mini album,"~42 (feat. Sam Kim, eSNa)",https://play.spotify.com/album/25DwzsTZrbsUWFK2FYf0Mp,None,2017,8
4th,12:00,Real Girls Project,PINGPONG GAME,digital single,PINGPONG GAME,https://play.spotify.com/album/4VozTpp5xHQRL7EvyJbsY5,http://apple.co/2wt2aQs,2017,8
4th,16:00,WINNER,Our Twenty For,single album,Love Me Love Me / Island,https://play.spotify.com/album/3s5LEazLAxgYZSFdG98rHw,http://apple.co/2xfpwpY,2017,8
4th,18:00,SNSD,Holiday Night,10th anniversary full-length album,All Night / Holiday,https://play.spotify.com/album/5MQM8Jw1FvT21Dny8cOXjF,http://apple.co/2vvTsAL,2017,8
5th,12:00,Yoo Young Jin X NCT's Taeyong,CURE,SM STATION 2 project single,CURE,https://play.spotify.com/album/0OJix83FcgJ7m1ro4bDGhM,http://apple.co/2wkK3Nq,2017,8
6th,18:00,NO:EL,Supplement,debut pre-release double single,I Don't Give a Fuck (feat. SWINGS),https://play.spotify.com/album/6Cca09ytGj9vd0McoccqAw,http://apple.co/2x2eLbn,2017,8
6th,18:00,Various Artists,Show Me The Money 6  Ep.1,Team Performances,(Four Team Songs),https://play.spotify.com/album/2B9I38E4rXdaXsaXC5mBlE,http://apple.co/2wt2uPu,2017,8
7th,12:00,ALi X Cheetah,Don't Speak,digital single,Don't Speak,https://play.spotify.com/album/0t2QwxHCJYofiUKzcbJhEj,http://apple.co/2ihoTK9,2017,8
7th,12:00,BLANC7,worldwide,single album,HELLO,https://play.spotify.com/album/6yOLGx9gG8bPxErGEqHbZX,http://apple.co/2uUkhPG,2017,8
7th,12:00,DAY6,What Can I Do,Every DAY6 project single,What Can I Do,https://play.spotify.com/album/2saTCXsAZGCMODcXIsc9j9,http://apple.co/2x1XdMl,2017,8
7th,12:00,QUEENDOM,QUEENDOM's Party Vol.1,debut digital single,Fly High,None,None,2017,8
7th,18:00,Wanna One,1X1=1(TO BE ONE),debut mini album,Energetic,https://play.spotify.com/album/6sQ2Gukev7VHstYs30LRAu,http://apple.co/2wdpqSU,2017,8
1st,12:00,Crush,The Last Festival,Seo Taiji Time:Traveler project single,The Last Festival,https://play.spotify.com/album/6ANtqKq7wag8PSgunt8NiS,None,2017,9
1st,12:00,IM,Sad Story,debut digital single,Sad Story,https://play.spotify.com/album/74WmeKvC3zsavZqd19fThD,None,2017,9
1st,12:00,Moon Yirang,Aphasia,digital single,Aphasia (feat. Hoody),https://play.spotify.com/album/60FZuqV4CmvvRCJ0D7eXFN,None,2017,9
2nd,0:00,HipHop Team (Seventeen),Before Al1,2017 Seventeen project single,Trauma,None,None,2017,10
2nd,12:00,Kim Kyujong (SS501),Play in Nature Part.2 FOREST,single album,HUG ME,https://play.spotify.com/album/62r6pvK96nuJrYEKTdPev0,None,2017,10
3rd,12:00,Keith Ape X Ski Mask The Slump God,Achoo,digital single,Achoo,https://play.spotify.com/album/7A1YvHtwUCd4EjhJBd3zTo,None,2017,10
7th,11:00,Lay (EXO),LAY 02 SHEEP,Chinese full-length album,SHEEP,https://play.spotify.com/album/18IRk3vprPVqDkOnrA3LAf,None,2017,10
8th,0:00,AOORA,SLAY,digital single,SLAY,None,None,2017,10
8th,12:00,Park Hyunbin X Lee Gikwang,Shabang Shabang (Fantastic Duo 2 Pt.17),TV,Shabang Shabang,https://play.spotify.com/album/4rnk2ii2arT56cokd8TMyN,None,2017,10
8th,18:00,DPR LIVE,Jasmine,digital single,Jasmine (prod. Code Kunst),https://play.spotify.com/album/2J4lOWOjWUYBRJoShrhAGk,None,2017,10
1st,0:00,G-Dragon (Big Bang),Kwon Ji Yong,Japanese mini album,,None,None,2017,11
1st,12:00,Stray Kids,Hellevator,pre-debut digital single,Hellevator,None,None,2017,11
1st,12:00,The Rose,Like We Used To,digital single,Like We Used To,https://play.spotify.com/album/2azacjfyDSvoX8O1QmN39h,None,2017,11
1st,18:00,ASTRO,Dream Part.02,mini album,Crazy Sexy Cool,https://play.spotify.com/album/0ATs7XoyXolPxK5vADyZlH,None,2017,11
1st,18:00,Stella Jang,Cheerleader,digital single,Cheerleader (feat. Olltii),None,None,2017,11
2nd,12:00,VAV,She's Mine,digital single,She's Mine,https://play.spotify.com/album/2lGxxu2aQURQNK9VyfivLZ,None,2017,11
2nd,18:00,Eddy Kim,Bet on Me,digital single,Bet on Me,https://play.spotify.com/album/0sp1XyY3ZC5T9u3XBwFsz1,None,2017,11
2nd,18:00,Hyungseob x Euiwoong,The Moment of Memory,debut project single album,It Will Be Good,https://play.spotify.com/album/148w0AMlfkn0iaq0LG1lHJ,None,2017,11
2nd,18:00,Woo Won Jae,Anxiety,digital single,loop / Paranoid,https://play.spotify.com/album/3kMfYknksIqG8uyM2rwNlJ,None,2017,11
3rd,12:00,SOLE,RIDE,debut digital single,RIDE,https://play.spotify.com/album/3t4nLWaE60YINX7QLTIbAS,None,2017,11
3rd,18:00,10cm x Chen (EXO),Bye Babe,SM STATION 2 project single,Bye Babe,https://play.spotify.com/album/0rpezypIJYjFC8RNI2GsRh,None,2017,11
3rd,18:00,Bang Minah (Girl's Day),Other way,digital single,11°,https://play.spotify.com/album/4LcD9EBYZvYcZ8iz4FLglx,None,2017,11
3rd,18:00,MIND U,Dear,mini album,If,https://play.spotify.com/album/1uyVWiPzaLDIzKIpgSOmWg,None,2017,11
4th,18:00,Nick & Sammy,Without You,mini album,Without You,https://play.spotify.com/album/2EdYsX1EIdvV12AYFgIpE4,None,2017,11
5th,12:00,We Are The Night,Calm Myself Down,mini-album,Deeper in Love,https://play.spotify.com/album/5ybZf6FgPVhcYBVq8tYV8j,None,2017,11
5th,12:00,Sori,MIXNINE Pt.2,digital single,To Myself,https://play.spotify.com/album/6b5cCjrp2Dfw8cvzhEl20X,None,2017,11
5th,18:00,Jeon Soyeon,Jelly,debut single,Jelly,https://play.spotify.com/album/7iTA4T8A4tDU77Dt6y3f9m,None,2017,11
6th,12:00,DAY6,All Alone,Every DAY6 project single,All Alone,https://play.spotify.com/album/1YVVClbv9za2R64Ov4a3GQ,None,2017,11
6th,18:00,Seventeen,"TEEN,AGE",full-length album,CLAP,https://play.spotify.com/album/5aHdNainJWMc3n2AqfiOg5,None,2017,11
6th,18:00,Sonamoo,I,Happy Box project single,I,https://play.spotify.com/album/26uRlgdFakvihF5S4pKU3w,None,2017,11
6th,18:00,Super Junior,PLAY,full-length album,One More Chance / Black Suit,https://play.spotify.com/album/1F7DAPXJpLVKfyZFSFsrCw,None,2017,11
7th,18:00,Block B,Montage,mini album,Shall We Dance,https://play.spotify.com/album/2E88InijeUw9UL0B7kmfe9,None,2017,11
7th,18:00,EXID,Full Moon,mini album,DDD,https://play.spotify.com/album/2ejJVhXC1pgVgROMsetsUL,None,2017,11
7th,18:00,Monsta X,The Code,mini album,Dramarama,https://play.spotify.com/album/4NJpBKY4XJbRLAsbbeIzyJ,None,2017,11
8th,0:00,Apink,Orion,Japanese single album,Orion,None,None,2017,11
8th,12:00,Kim Sohee,the Fillette,debut mini album,SobokSobok (feat. Fiestar's Yezi),https://play.spotify.com/album/6CanaIaZNt4HUh927k8xE9,None,2017,11
8th,18:00,gugudan,Act.03: Chococo Factory,single album,Chococo,https://play.spotify.com/album/4FcriwGRWvBmjw1NYD87dO,None,2017,11
8th,18:00,Urban Zakapa,When We Were Two,digital single,When We Were Two,https://play.spotify.com/album/1bVjIGsyF9WKEu5DJMpDYC,None,2017,11
9th,0:00,SE7EN,1109,Japanese full-length album,Precious Day,None,None,2017,11
9th,12:00,Rothy,Stars,debut digital single,Stars,https://play.spotify.com/album/0Kjrj9VlwLkuAWb1FugHoi,None,2017,11
1st,12:00,Black Nine,Payback,digital single,Payback (feat. Bibi),None,None,2017,12
1st,12:00,The Barberettes,The Barberettes' Winter,mini album,White Blanket (feat. GB9),https://play.spotify.com/album/3Sv9Di6p9mZbJAuYFt8Ado,None,2017,12
1st,18:00,Baek A Yeon X Wendy (Red Velvet),The Little Match Girl,SM STATION 2 project single,The Little Match Girl,https://play.spotify.com/album/4zAtVhSOfikuAxnY0i3hXF,None,2017,12
1st,0:00,Park Hyo Shin,Sound of Winter,digital single,Sound of Winter,https://play.spotify.com/album/0nbb8Y2mpu5ypl0ccUrg33,https://itunes.apple.com/gb/album/sound-of-winter-single/1330522751,2018,1
1st,12:00,Kim Kyu Jong (SS501),Play in Nature Part.3 SNOW FLAKE,single album,Melt,https://play.spotify.com/album/4zn5B92FR5S7YmWRiWKD9X,https://itunes.apple.com/gb/album/play-in-nature-pt-3-snow-flake-single/1329905253P,2018,1
1st,18:00,Drug Restaurant,Her,digital single,Her,https://play.spotify.com/album/1vInvQunLInwG66ZQsmY9L,https://itunes.apple.com/gb/album/her-single/1330597985,2018,1
2nd,12:00,TRCNG,WHO AM I,single album,WOLF BABY,https://play.spotify.com/album/6QcQmlZfsypWehjNgX7QWs,https://itunes.apple.com/gb/album/who-am-i-single/1330624661,2018,1
2nd,12:00,Soyeon (Laboum) X Parc Jae Jung,XOXO,digital single,XOXO,https://play.spotify.com/album/1YE3VFtAoXX0hPaPa08d5v,https://itunes.apple.com/gb/album/xoxo-single/1330527538,2018,1
2nd,18:00,OOHYO,Honey Tea,digital single,Honey Tea,https://play.spotify.com/album/1KWX0awddaxsi7ySIk5Nq1,https://itunes.apple.com/gb/album/honey-tea/1330596060?i=1330596063,2018,1
3rd,0:00,B.A.P,Hands Up,Japanese single album,Hands Up,https://play.spotify.com/album/5f1J7Pmx9ndU1RQO57Miy6,None,2018,1
3rd,12:00,HINT,Walkie-Talkie,mini album,Walkie-Talkie,https://play.spotify.com/album/0PCOdB3SlR05WV6wKk1Rwx,https://itunes.apple.com/gb/album/walkie-talkie/1330574987?i=1330574992,2018,1
3rd,12:00,Kriesha Chu,Dream of Paradise,mini album,Like Paradise,https://play.spotify.com/album/4rQT22dw5278iG00QKWrI3,https://itunes.apple.com/gb/album/dream-of-paradise-ep/1330589987,2018,1
3rd,12:00,Planetarium Records,Planetarium Case #1,mini album,Blah,https://play.spotify.com/album/61T0Bep9XtljduxpuyAoGJ,https://itunes.apple.com/gb/album/planetarium-case-1/1330878662,2018,1
3rd,18:00,Momoland,GREAT!,mini album,BBoom BBoom,https://play.spotify.com/album/5vt2sEP5J0VNbYXoA7h2k4,https://itunes.apple.com/gb/album/great-ep/1330921813,2018,1
3rd,18:00,N.Flying,THE HOTTEST: N.Flying,mini album,Hot Potato,https://play.spotify.com/album/7mvDrCwozKiQBOPglJfjUb,https://itunes.apple.com/gb/album/n-flying-3rd-mini-album-the-hottest-n-flying-ep/1330921850,2018,1
3rd,18:00,Song Ju Hee (Hello Venus' Alice),Twenty-something,FM201.8-01Hz project single,Twenty-something,https://play.spotify.com/album/3SzIMtOgR1yPaGnfCGPYwb,https://itunes.apple.com/gb/album/twenty-something-single/1330917146,2018,1
4th,12:00,Han Hee Jun,DEEP INSIDE,single album,DEEP INSIDE (feat. Sojung of Ladies' Code),https://play.spotify.com/album/1nQRMNqKvjkXcWzBzC78sV,https://itunes.apple.com/gb/album/deep-inside-feat-sojeong/1330928172?i=1330928359,2018,1
4th,18:00,Hwanhee,2018 Diary of January,Love Song project single,the dawn,https://play.spotify.com/album/3sxIZktJ3CYkZ3RTiQMkSd,https://itunes.apple.com/gb/album/the-dawn/1331385632?i=1331385950,2018,1
4th,18:00,Mamamoo,Paint Me,special single,Paint Me,https://play.spotify.com/album/2bvVUfael0Y1JwuHEsnqZm,https://itunes.apple.com/gb/album/paint-me-single/1331388375,2018,1
5th,12:00,5tion,Come back,digital single,Come back,https://play.spotify.com/album/5Wczj1czllEiHm3YfvldYP,https://itunes.apple.com/gb/album/%EB%8F%8C%EC%95%84%EC%99%80%EC%A4%98%EC%9A%94/1331881207?i=1331881372,2018,1
5th,12:00,LIVE HIGH,YES,digital single,YES,https://play.spotify.com/album/2ghlo9GwoIaTUgqZXzh44x,https://itunes.apple.com/gb/album/yes-single/1331780373,2018,1
5th,12:00,S2U,Ice Cream,digital single,Ice Cream,None,None,2018,1
5th,18:00,f(x)'s Amber X Luna,Lower,SM STATION 2 project single,Lower,https://play.spotify.com/album/5LjjM5xxUKPOEM2lmRBb1f,https://itunes.apple.com/gb/album/lower/1330997917?i=1330997918,2018,1
5th,18:00,Jeong Uk (24K),DOMINO,digital single,DOMINO (feat. J-Man) (prod. Bayside Pablo),None,None,2018,1
5th,18:00,Jo Woochan X Park Hyunjin X A Chillo,OG School Project,digital single,OGZ (prod. GroovyRoom),https://play.spotify.com/album/09iyawGokBhfk3m5nqnZa7,https://itunes.apple.com/gb/album/ogz-single/1331896639,2018,1
5th,18:00,Ravi (VIXX),R.EBIRTH 2016,remastered mixtape,Hong Gil Dong,https://play.spotify.com/album/6M9oZRbmek6v9JyTgjDtqd,https://itunes.apple.com/gb/album/ravi-1st-mixtape-r-ebirth-2016/1331389944,2018,1
6th,12:00,VOISPER,Missing U,digital single,Missing U,https://play.spotify.com/album/70rkjlGfucrSSRTcaXVwmp,https://itunes.apple.com/gb/album/%EA%BA%BC%EB%82%B4%EB%B3%B4%EB%A9%B4-single/1332943016,2018,1
7th,12:00,MIXNINE,MIXNINE Part.4,digital single,Hush / Good Vibe,https://play.spotify.com/album/6WIozq4U5lYD5bezl0kfB5,None,2018,1
1st,12:00,14U,Don't Be Pretty,single album,Don't Be Pretty,None,None,2018,2
1st,12:00,Taru X MONT's Narachan,I think of you,digital single,I think of you (feat. MONT's Roda),None,None,2018,2
1st,18:00,Bumkey,LALALA,digital single,LALALA (feat. Suran & Loco),https://play.spotify.com/album/0KV08mAhoVS6NiHm3StTJ7,None,2018,2
1st,18:00,CLC,To the Sky,pre-release single,To the Sky,https://play.spotify.com/album/0z46X13mUaArCdLEhLtJBz,None,2018,2
1st,18:00,gugudan,Act.04: Cait Sith,single album,The Boots,https://play.spotify.com/album/5CkOZ5vgacWk5rMr620rsW,None,2018,2
2nd,18:00,Henry,Monster,digital single,Monster (English Ver.) / (Chinese Ver.),https://play.spotify.com/album/0a9neB7QlIaVQ7Wi415Kh5,None,2018,2
2nd,18:00,Jay JungJae Moon X PACE,Piano Quintet No.1 - 1st Mov. Allegro,SM STATION 2 project single,Piano Quintet No.1 – 1st Mov. Allegro,https://play.spotify.com/album/29zejVYt91rPDJCZcYR6xV,None,2018,2
2nd,18:00,JuB (SunnyHill) X Fat Cat,Adam & Eve,digital single,Adam & Eve (prod. Space One),https://play.spotify.com/album/3flhUy995QooqoMB4K6T8W,None,2018,2
2nd,18:00,N (VIXX),Cactus,Habitat for Humanity project single,Cactus,https://play.spotify.com/album/53uOKwcUyFS4Tmvux1fUb4,None,2018,2
2nd,18:00,Yoon Mirae,No Gravity,pre-release single,No Gravity,https://play.spotify.com/album/2XYR71m8s1JCl39RAVpcU5,None,2018,2
3rd,18:00,BLACK6IX,Alone,digital single,Alone,https://play.spotify.com/album/21BxRbHLl9HbFEcTYNYFH5,None,2018,2
4th,18:00,NRG,Go To The Pyeongchang,digital single,Go To The Pyeongchang,https://play.spotify.com/album/1qzolwfjkR2IvhbB0ZnwZa,None,2018,2
4th,18:00,pH-1,GATSBY,digital single,Penthouse (feat. Sik-K),https://play.spotify.com/album/3oc0tOh9XqNQtWGwDmcZfk,None,2018,2
2nd,00:00,J-Hope (BTS),Hope World,mixtape,Daydream / Airplane,https://play.spotify.com/album/1bJ8O4jIyqSdunqT9RWXc9,https://itunes.apple.com/us/album/hope-world/1353766581,2018,3
2nd,12:00,AZM,EDGE,debut digital single,EDGE,None,None,2018,3
2nd,12:00,Ryu Sera,Stay Real,digital single,Bloom,None,https://itunes.apple.com/us/album/stay-real-single/1354885479,2018,3
2nd,18:00,Jooyoung,Fountain,mini album,Dive,https://play.spotify.com/album/7kfhx5sztT503CUu9I1r8D,https://itunes.apple.com/us/album/fountain-ep/1354899414,2018,3
2nd,18:00,Sleepy,Identity,mini album,iD (prod. by GRAY),https://play.spotify.com/album/4Ws46ZZYivLbZox11FKIkg,https://itunes.apple.com/us/album/identity/1354893478,2018,3
2nd,18:00,Sungmin (Super Junior),Day Dream,SM STATION 2 project single,Day Dream,https://open.spotify.com/album/6VUyjzhQZTf05ODjD3zgmi,https://itunes.apple.com/us/album/day-dream-single/1353769781,2018,3
4th,18:00,Hyungdon & Daejune,The King of Math,digital single,The King of Math,https://play.spotify.com/album/5nc0XF8JGpuZ86B1r2Gudo,https://itunes.apple.com/us/album/%EC%A4%91-2-%EC%88%98%ED%95%99%EC%9D%80-%EC%9D%B4%EA%B1%B8%EB%A1%9C-%EB%81%9D%EB%82%AC%EB%8B%A4-the-king-of-math-single/1355966087,2018,3
5th,00:00,Noh Yoonho (VAV),Don't Sleep,mixtape,Don't Sleep (feat. Ziu),None,None,2018,3
5th,00:00,"Oh My Girl, Mamamoo","Two Yoo Project - Sugar Man2, Pt.7",digital single,Love Song / Gloomy Coincidence,https://play.spotify.com/album/3CDuUgFBJhvsMumlrNyv4R,https://itunes.apple.com/us/album/sugar-man2-pt-7-single/1354894494,2018,3
5th,18:00,iKON,Rubber Band,digital single,Rubber Band,https://play.spotify.com/album/0tx5UvWk7z4qpSvor1J8e8,https://itunes.apple.com/us/album/rubber-band-single/1355565832,2018,3
5th,18:00,Noel,Our Last Day,digital single,Our Last Day,https://play.spotify.com/album/5bTl5nbWOySYjX4eKjhvTQ,https://itunes.apple.com/us/album/%EA%B7%B8%EB%82%A0%EC%9D%98-%EB%84%88%EC%97%90%EA%B2%8C-our-last-day-single/1355617482,2018,3
5th,18:00,Wanna One,I.P.U,special theme track,I.P.U,https://play.spotify.com/album/2SK3OjBPTDTsKTCNnOOBd6,https://itunes.apple.com/us/album/i-promise-you-i-p-u-special-theme-track-single/1355600766,2018,3
6th,12:00,JMVOK (Jang Moonbok),Peeps,mini album,RED (with Yoon Heeseok & So Jihyuk),https://play.spotify.com/album/34V1VBp4NhYElohhph6pbm,None,2018,3
6th,18:00,ASTRO,2018 ASTRO Special Single Album,single album,,None,None,2018,3
6th,18:00,Minseo,The Diary of Youth,debut digital single,The Grand Dreams,https://play.spotify.com/album/3HX42FuFRH0Pb4lFZFV7uW,https://itunes.apple.com/us/album/%EB%A9%8B%EC%A7%84-%EA%BF%88-the-grand-dreams-single/1356058163,2018,3
6th,18:00,MXM,REMATCH,double digital single,Gone Cold,https://play.spotify.com/album/4hseDk0WCmG7yCF6QQQuXa,https://itunes.apple.com/us/album/rematch-single/1353363150,2018,3
2nd,00:00,"Monsta X, B1A4","Sugarman 2, Pt.11",digital single,As I Told You / Eternity,https://play.spotify.com/album/5nJLYq2qHMdabn4NiBncJJ,None,2018,4
2nd,18:00,EXID,Lady,digital single,Lady,https://play.spotify.com/album/7hdql29wHs1VTWxmGmm5HV,None,2018,4
2nd,18:00,Oh My Girl Banhana,Banana Allergy Monkey,unit pop-up album,Banana Allergy Monkey,https://play.spotify.com/album/3dGBubYrajwhcnMubZ3H8F,None,2018,4
2nd,18:00,Pentagon,Positive,mini album,Shine,https://play.spotify.com/album/1ZRmLzZWvOkSqWePzFeekO,None,2018,4
3rd,18:00,Jeong Jinwoon (2AM),Erasing,digital single,Erasing,https://play.spotify.com/album/7wQUL2FcaUOKgb3EjSriar,None,2018,4
3rd,18:00,Primary X Anda,Do worry Be happy,project album,Dressroom,https://play.spotify.com/album/4xMQYvYKfx2BGNl5MqaS7X,None,2018,4
3rd,18:00,THE BOYZ,THE START,mini album,Giddy Up,https://play.spotify.com/album/4HnxhuDasxI3pCyz8o61Lg,None,2018,4
4th,00:00,BTS,Face Yourself,Japanese full-length album,,https://play.spotify.com/album/66J1OXSaS3hBZASOV3el8t,None,2018,4
4th,00:00,Jun. K,NO TIME,Japanese mini album,Ms. NO TIME,None,None,2018,4
4th,00:00,TRCNG,SPECTRUM,Japanese debut single album,Spectrum / Don't Stop the Dancing,https://play.spotify.com/album/3i9KvbshsHw3k1c7ishs8H,None,2018,4
1st,12:00,GBB,Girls Be the Best,debut mini album,KEMI,None,None,2018,5
1st,12:00,HALO,OMG (Oh My God),digital single,OMG (Oh My God),https://play.spotify.com/album/1EBBHsR8Lcn096bFEmuWue,None,2018,5
1st,18:00,GRAY,Upside Down,digital single,"Upside Down (feat. Jay Park, Simon Dominic, Loco)",https://play.spotify.com/album/4WkcSqzSz1q7oNpZEBNZFc,None,2018,5
1st,18:00,ii,Modern Classic,debut digital single,I'm Already you,https://play.spotify.com/album/4taxNsYitQmK2FMETCBBEY,None,2018,5
1st,18:00,IZ,ANGEL,mini album,ANGEL,https://play.spotify.com/album/7MyG3MvpSPnCjFYkvpRWxW,None,2018,5
1st,18:00,Thunder,SMILE,digital single,SMILE (feat. Jang Soobin),https://play.spotify.com/album/6596JRZBejajTICxemnvmq,None,2018,5
2nd,12:00,HI CUTIE,8th Grade Syndrome,digital single,8th Grade Syndrome,None,None,2018,5
2nd,12:00,Maydoni,Balloon,digital single,Balloon,https://play.spotify.com/album/155rcFzjsW1U9hfxZFDQtX,None,2018,5
2nd,12:00,YooA (Oh My Girl),Morning Call,digital single,Morning Call (prod. Peter Pan Complex),https://play.spotify.com/album/5pMfHs5DNs6c3o7F6Hdmdm,None,2018,5
2nd,18:00,(G)I-DLE,I AM,debut mini album,LATATA,https://play.spotify.com/album/1GtPnOiHxCnoZPCiLcKj22,None,2018,5
3rd,12:00,Gaho,Stay Here,debut digital single,Stay Here,https://play.spotify.com/album/7asMIo6qEhr9Gt5rE1Tmvw,None,2018,5
3rd,12:00,Rui (H.U.B),I Don't Care,digital single,I Don't Care,https://play.spotify.com/album/2grx0LeNGBOiZNXhEL5jrb,None,2018,5
3rd,18:00,Crush,Bittersweet,digital single,Bittersweet,https://play.spotify.com/album/0KxKWeGiXcAECXkvlN63Mv,None,2018,5
3rd,18:00,Jungyup (Brown Eyed Soul),Nothing Left,digital single,Nothing Left,https://play.spotify.com/album/55SMOKHDt3rg0m0v59dXhU,None,2018,5
4th,12:00,Kyungri X It's,What're You Doing Tonight,digital single,What're You Doing Tonight,https://play.spotify.com/album/57sR5cxaUYxjwjXbASQep0,None,2018,5
5th,00:00,Hui,Breakers Pt.3,digital single,Navigation,https://play.spotify.com/album/0W5pL8s90itAKV6rWRAOQq,None,2018,5
5th,18:00,MC Gree,Don't You Love Me,double digital single,Don't you Love Me,None,None,2018,5
7th,00:00,DinDin X K.Will,"Sugar Man2, Pt.16",digital single,Not Your Sister,https://play.spotify.com/album/2axlWMST7s0F7zUAH5xnTA,None,2018,5
8th,18:00,Ben,RECIPE,full-length album,"Love, ing",https://play.spotify.com/album/7xSPokUlRKABb78sL7WRsm,None,2018,5
8th,18:00,Cross Gene,ZERO,mini album,Fly / Touch It,https://play.spotify.com/album/1UDaQx9Q4TLlZQA8DkS0yI,None,2018,5
8th,18:00,Teen Top,Seoul Night,mini album,Seoul Night,https://play.spotify.com/album/1wHKdWLlIXiuJ94Wrzgeun,None,2018,5
9th,00:00,EXO-CBX,MAGIC,Japanese full-length album,Horololo,https://play.spotify.com/album/2NbpxzWVFJfUuNXbIVeWhd,None,2018,5
9th,12:00,Spectrum,Be Born,debut mini album,Light It Up,https://play.spotify.com/album/7gcVKpFwFcEW69VKFrJDja,None,2018,5
9th,18:00,VINXEN,Smelting,mini album,Sinking Down with You,https://play.spotify.com/album/0OwF1gtdSFzlHh29kzrWjR,None,2018,5
9th,18:00,Yong Junhyung (Highlight),Goodbye 20's,full-length album,Go Away,https://play.spotify.com/album/6pIdQQYMXtp07uotxMddCA,None,2018,5
