day,time,artist,album,type,title,spotify,apple,year,month
10th,12:00,Favorite,Love Loves to Love Love,mini album,Where are you from?,https://play.spotify.com/album/5PLJtRp7lCnUKPLdqL7lg4,None,2018,5
10th,18:00,Various Artists,CLEF Project,full-length album,BTOB's Seo Eunkwang X Lee Changsub - My Day,https://play.spotify.com/album/0BIRNa0Z6XjBF7XESThRJ4,None,2018,5
1st,00:00,iKON,Love Scenario,Japanese digital single,Love Scenario (Japanese Ver.),None,None,2018,6
1st,18:00,Abry,Strike,digital single,Strike,https://play.spotify.com/album/3DfuzMHY87Z09c1hy9C4CN,None,2018,6
1st,18:00,Rothy,SULLAE,digital single,SULLAE,https://play.spotify.com/album/5RXJMr2iCuhHsez6IuhMqi,None,2018,6
1st,18:00,WJMK,STRONG,debut digital single,STRONG,https://play.spotify.com/album/1cGFzDBxOVumndfUmV73Z1,None,2018,6
2nd,00:00,Hui,Breakers Semi Final,digital single,Swim Good (feat. Somin (KARD),https://play.spotify.com/album/7Exp3oo0a2d6Px8i0ubNIO,None,2018,6
2nd,22:00,NCT U (Ten & Taeyong),Baby Don't Stop,Thai digital single,Baby Don't Stop (Thai Ver.),https://play.spotify.com/album/56hYT1UpRNywoEauioNczN,None,2018,6
3rd,00:00,"Seo Eunkwang, Son Seung-yeon",King Of Mask Singer 156,digital single,Already To Me / Moon's Fall,https://play.spotify.com/album/1Rcfa4WmVGwRacUnSW7gHc,None,2018,6
4th,18:00,BTS,Fake Love (Rocking Vibe Mix),remix single,Fake Love (Rocking Vibe Mix),https://play.spotify.com/album/3znXuEXvpl674WIHuw0fbx,None,2018,6
4th,18:00,Wanna One,1÷x=1 (UNDIVIDED),special mini album,Light,https://play.spotify.com/album/2uq6ULcN34XW2N5cEIaXug,None,2018,6
5th,18:00,fromis_9,To. Day,mini album,DKDK,https://play.spotify.com/album/09r6g4aYjC6WqIxmTNHaZx,None,2018,6
1st,00:00,Leo (VIXX),Free Tempo,mixtape,Free Tempo,None,None,2018,7
1st,12:00,Lovelyz,Wag-zak,digital single,Wag-zak,https://play.spotify.com/album/1JvjesAVP9BlXCtU0HGrlA,None,2018,7
1st,18:00,"Baekho (NU'EST W), Bob Ross (Han Dong Geun)",King Of Mask Singer Ep.160,omnibus,Beautiful Night / I Remember / Breathe,https://play.spotify.com/album/2V6Z0JTWSNxQ1X2gMPDdTf,None,2018,7
1st,18:00,Jay Park,SOJU Remix,digital single,"SOJU Remix (ft. Simon Dominic, Changmo, Woodie Gochild)",https://play.spotify.com/album/49JHujfavaPyZcH8BeEQ9i,None,2018,7
1st,18:00,Mamamoo,Rainy Season,pre-release single,Rainy Season,https://play.spotify.com/album/1WGfdNasOiGf5kG3JvFXtf,None,2018,7
1st,00:00,ONF,ON/OFF -Japanese ver.-,Japanese debut single album,ON/OFF -Japanese ver.-,https://play.spotify.com/album/0q8Azo0x7QfPBbLexdxZt4,None,2018,8
1st,12:00,Paran,You & Me,digital single,You & Me,https://open.spotify.com/album/1YQhNJFQF2PcnZnsNHipIo,None,2018,9
1st,18:00,Produce 48,Final,mini album,various songs,https://open.spotify.com/album/3Wnok93RocUbenJNMmfYD4,None,2018,9
2nd,18:00,Jeong Jinwoon,Koong! Pop!,maxi single,All I Need Is You,https://open.spotify.com/album/6NnioFl4hvGCJbpLvzsuSp,None,2018,9
3rd,18:00,100%,Sunshine,mini album,Heart,https://open.spotify.com/album/4xXOwV0zQAMyR0obVjw2iG,None,2018,9
3rd,18:00,BLANC7,Take Off,single album,Drama,None,None,2018,9
3rd,18:00,Nam Woohyun,Second Write...,mini album,If only you are fine,https://open.spotify.com/album/0q65lwDDiYejRP62WkYL9F,None,2018,9
3rd,18:00,NCT DREAM,Go Up,mini album,Go Up,https://open.spotify.com/album/0pIWpPef8UFx8iQ5KSZsYj,None,2018,9
3rd,18:00,Yoon Jong Shin,Lean on You,Melody Monthly project single,Lean on You,https://open.spotify.com/album/5HvxoqEQOm4t3K50HTzb1k,None,2018,9
4th,12:00,GreatGuys,Take Off,mini album,Illusion,None,None,2018,9
4th,12:00,Kitten Girls,U Me Us,debut digital single,U Me Us,https://open.spotify.com/album/6n9zVYHacycObIxtEoe1vZ,None,2018,9
4th,18:00,Jimin Park,jiminxjamie,mini album,April Fools (0401),https://open.spotify.com/album/7ko4bIyHTERlq9MGyZfk3A,None,2018,9
4th,18:00,Nam Taehyun,Star,debut digital single,Star,https://open.spotify.com/album/4XktwFZzxpZh8XqBD6LOFL,None,2018,9
4th,18:00,Sori (CocoSori),Touch,debut digital single,Touch (feat. Basick),https://open.spotify.com/album/14ceR5OozSfZ0qN4nBK6Dr,None,2018,9
4th,18:00,Sunmi,Warning,mini album,Siren,https://open.spotify.com/album/7KU9xZLinCIIHBDmeQbeDp,None,2018,9
5th,00:00,V.I (Seungri from BIGBANG),The Great Seungri,Japanese full-length album,"1, 2, 3!  / Where Are You From (feat. WINNER's Mino)",https://open.spotify.com/album/2UcoD6mDLrUU0aCOIB1pML,None,2018,9
5th,00:00,Team H (Jang Geun Suk & Big Brother),Mature,Japanese full-length album,Mature / Summer Time,https://open.spotify.com/album/358vQLCSn492DxYt16Bhvl,None,2018,9
5th,18:00,GWSN,The Park in the Night part one,debut mini album,Puzzle Moon,https://open.spotify.com/album/1X525EiWjde90wCfxhS0Jw,None,2018,9
5th,18:00,HAON,TRAVEL : NOAH,mini album,"NOAH (feat. Jay Park, Hoody)",https://open.spotify.com/album/7paPIIEBNYB1Mtnshg6kvB,None,2018,9
5th,18:00,SNSD-Oh!GG,Lil' Touch,debut single album,Lil' Touch,https://open.spotify.com/album/6369mPjmE105oD1ECF7WiA,None,2018,9
5th,18:00,THE BOYZ,THE SPHERE,single album,Right Here,https://open.spotify.com/album/6icPTljY6YVuv6Cu9Te3CA,None,2018,9
5th,18:00,YJIG,Prince,digital single,Prince,None,None,2018,9
6th,12:00,Spectrum,Dear. My,special digital single,Dear. My,https://open.spotify.com/album/6cd4EWpNqoj2rphwzIZZpq,None,2018,9
6th,18:00,Parc Jae Jung,4 years,digital single,4 years,https://open.spotify.com/album/5sVtgY33FpMhoMh9PX5VzE,None,2018,9
6th,18:00,SG Wannabe,Let's Meet Up Now,digital single,Let's Meet Up Now,https://open.spotify.com/album/1CeHxf4K2yyRTGSqgxqJTe,None,2018,9
6th,18:00,Yook Sungjae (BTOB),Propose,Your BGM project single,Propose (prod. by Park Geun Tae),https://open.spotify.com/album/0RLeuBwYUOPEReiJf6iSF3,None,2018,9
7th,12:00,LipBubble,Yellow Pink,digital single,Yellow Pink,None,None,2018,9
10th,12:00,DAY6,Beautiful Feeling,digital single,Beautiful Feeling,https://open.spotify.com/album/0TMcM2jax77HR89yWm8PPi,None,2018,9
10th,18:00,Jay Park,V,digital single,V,https://open.spotify.com/album/4MQu7vXhTomG1ZyOINRLm0,None,2018,9
10th,18:00,Lovelyz,Muse on Music,instrumental album,Hi~,https://open.spotify.com/album/6fbOUzs6Ecz1QL0bHnpKJx,None,2018,9
10th,18:00,Oh My Girl,Remember Me,mini album,Remember Me,https://open.spotify.com/album/5cWzZxmpNNedvZLCXnFE3E,None,2018,9
10th,18:00,Pentagon,Thumbs Up!,mini album,Naughty boy,https://open.spotify.com/album/6AjfY47ASqK3OjjaPxTqaH,None,2018,9
10th,18:00,SHINee,The Story of Light: Epilogue,repackage full-length album,Countless,https://open.spotify.com/album/0myFUTLsIg4SKyAanKrM3f,None,2018,9
11th,18:00,Kim Dong Ryul,Song,digital single,Song,https://open.spotify.com/album/24VE5uywLokQ7BrN0MWwJP,None,2018,9
12th,00:00,Monsta X,Livin' It Up,Japanese single album,Livin' It Up,https://open.spotify.com/album/02V459aiaDCBwuBe4qDl8j,None,2018,9
12th,00:00,TWICE,BDZ,Japanese full-length album,BDZ,https://open.spotify.com/album/3Bi7hl11zYHpw6uE6gAtSs,None,2018,9
12th,18:00,HOYA,BABY U,digital single,BABY U (feat. Hanhae),https://open.spotify.com/album/3IDVu1K85f763vj4iJhaCj,None,2018,9
12th,18:00,Hyomin (T-ara),Mango,digital single,Mango,https://open.spotify.com/album/00VrebBwk58mZs9IzHliqB,None,2018,9
12th,18:00,Punch,Good Bye,digital single,Good Bye,https://open.spotify.com/album/769XU5orKxa7pKW5EHL1lw,None,2018,9
12th,18:00,Samuel Seo,UNITY,full-length album,Happy Avocado,https://open.spotify.com/album/5ijOKBvQV5kn6OQMyDS08c,None,2018,9
13th,18:00,Jung Dong Ha,CROSSROAD,full-length album,Let Me Go Back,https://open.spotify.com/album/1UQfHVOBlIFd5YJ1PaM6GG,None,2018,9
13th,18:00,Onestar,The Way To Say Goodbye,digital single,The Way To Say Goodbye,https://open.spotify.com/album/01XwXakosDXoyR4FuTlkm3,None,2018,9
14th,12:00,Park Boram,One More Shot,digital single,One More Shot,https://open.spotify.com/album/4exQuRnxFHQSU2ibfCx7zR,None,2018,9
14th,18:00,EXO's Chanyeol X Sehun,We Young,STATION x 0 project single,We Young,https://open.spotify.com/album/5YJFl4cNetPk0Tn4tqPRHk,None,2018,9
14th,18:00,Jooyoung,N/A,digital single,N/A / Inn,https://open.spotify.com/album/6XWgCytlgnTi8CFvCh6Jz3,None,2018,9
14th,18:00,SORAN,Zamianwa (Can't Close My Eyes),digital single,Zamianwa(Can't Close My Eyes),https://open.spotify.com/album/6cJSnQNg8NnsixlO6xfG23,None,2018,9
15th,18:00,DinDin,Insomnia,digital single,Insomnia (feat. Lee Hongki of FTISLAND),https://open.spotify.com/album/0dQonzb9GzEH1GTKUf4QPp,None,2018,9
16th,18:00,Nayoung (gugudan),King of Masked Singer 169th,digital single,Piano Man,https://open.spotify.com/album/7c5qRSYE2eNs7nVYCTAxYk,None,2018,9
1st,18:00,iKON,NEW KID : THE FINAL,mini album,GOODBYE ROAD,https://open.spotify.com/album/4xcX8mE53Tn8qoj1WPljhL,https://itunes.apple.com/us/album/new-kids-the-final-ep/1437760054,2018,10
1st,18:00,Monika,Luvidu,mini album,Luvidu (feat. LUDA),https://open.spotify.com/album/20fpaHDv1UqtFmGACSCnGU,https://itunes.apple.com/us/album/luvidu-ep/1437764248,2018,10
1st,18:00,NU'EST W,I Don't Care,digital single,I Don't Care (with Spoonz),https://open.spotify.com/album/1D15TkQpmjZrXug90xwhpu,https://itunes.apple.com/us/album/i-dont-care-with-spoonz-single/1437761545,2018,10
1st,18:00,Park Won,r,mini album,rudderless,https://open.spotify.com/album/6KmrLxGgaRGIchZU1eb3br,https://itunes.apple.com/us/album/r-ep/1437782774,2018,10
1st,18:00,Wooyoung (2PM),Think About 'Chu,SONG ONE project single,Think About 'Chu,https://open.spotify.com/album/1KwQNxNHR3mFtRsg4ooMHo,https://itunes.apple.com/us/album/song-one-jang-woo-young-think-about-chu-single/1437743880,2018,10
2nd,12:00,LEO (VIXX),"You are There, but not There",digital single,"You are There, but not There (feat. Hanhae)",https://open.spotify.com/album/71f9yjBoQ7kxcE6WKLNK0R,https://itunes.apple.com/us/album/you-are-there-but-not-there-feat-hanhae-single/1437858224,2018,10
2nd,12:00,NOIR,TOPGUN,mini album,Airplane Mode,https://open.spotify.com/album/3zGGzfOFVYRtzeJ16x2wh2,https://itunes.apple.com/us/album/topgun-ep/1438205887,2018,10
2nd,18:00,Hangzoo,Drive Thru,digital single,Drive Thru (feat. Gaeko),https://open.spotify.com/album/2BnF9pASfGxvST12kTtoPv,https://itunes.apple.com/us/album/drive-thru-feat-gaeko-single/1437867271,2018,10
2nd,18:00,Lee Sora,October Lover,digital single,October Lover (feat. Roy Kim),https://open.spotify.com/album/3bEASPmR9TMtdrsmOswer1,https://itunes.apple.com/us/album/october-lover-feat-roy-kim-single/1437781990,2018,10
2nd,18:00,S.O.U.L,Get Myself With You,project unit debut single,Get Myself With You,https://open.spotify.com/album/6r5WlDgH6lYvDCn5FKGfnE,https://itunes.apple.com/us/album/s-o-u-l-single/1437891988,2018,10
3rd,00:00,Heo Young Saeng (SS501),After The Rain,Japanese single album,After The Rain,https://open.spotify.com/album/5dgp1uEXFfsFy2qjXUGqAO,https://itunes.apple.com/us/album/after-the-rain-ep/1437775540,2018,10
3rd,00:00,MAMAMOO,Décalcomanie,Japanese debut single album,Décalcomanie,https://open.spotify.com/album/3ze2COsxMLiqWqkKv1twdq,https://itunes.apple.com/us/album/decalcomanie-japanese-ver-single/1436561752,2018,10
3rd,00:00,Rose Finger,Vol.1 Mix tape Boom&Beat&Clap,digital single,HIBIDIPOP,https://open.spotify.com/album/3xdIxUYrEJUlgbdg53kWBH,https://itunes.apple.com/us/album/vol-1-mix-tape-boom-beat-clap-hibidi-pop-single/1437884419,2018,10
3rd,18:00,Babylon,CAELO,full-length album,One More Time (feat. VINXEN),https://open.spotify.com/album/3vbnZhZvjqL3H4sLIkk1Ra,https://itunes.apple.com/us/album/caelo/1437871976,2018,10
4th,18:00,Epitone Project,Words In The Mind,full-length album,First Love,https://open.spotify.com/album/6t3ExmPeNU5M1LimWIG2r9,https://itunes.apple.com/us/album/words-in-the-mind/1438097608,2018,10
4th,18:00,Pungdeng-E,Super Market,digital single,Super Market,https://open.spotify.com/album/4QwGJWzUWcFYO8l9semssM,https://itunes.apple.com/us/album/super-market-single/1438081287,2018,10
4th,18:00,Soyou,PART.2 [RE:FRESH],full-length album,All Night (prod. GroovyRoom) (with Sik-K),https://open.spotify.com/album/39RB7l7UElREy8SpJuvhbW,https://itunes.apple.com/us/album/re-fresh-ep/1438095912,2018,10
4th,18:00,The Rose,DAWN,mini album,She's In The Rain,https://open.spotify.com/album/2rKkvzVCh5GD3yh5BYBJ4a,https://itunes.apple.com/us/album/dawn-ep/1437872020,2018,10
4th,18:00,The Singing Girls,This Night,digital single,This Night,https://open.spotify.com/album/74aaOiWRmI4a3f3AFRVTX2,https://itunes.apple.com/us/album/this-night-single/1438073928,2018,10
4th,18:00,Yuri (Girls' Generation),The First Scene,debut mini album,Into You,https://open.spotify.com/album/1vRQP001rGl7zI3W6ghGSR,https://itunes.apple.com/us/album/the-first-scene-the-1st-mini-album-ep/1437890095,2018,10
5th,12:00,Ashmute,Summer's Gone,single album,Summer's Gone,https://open.spotify.com/album/0Vpg8ZdIcyERGgVnznkcd3,https://itunes.apple.com/us/album/summers-gone-single/1438718039,2018,10
5th,18:00,CHEEZE,Everything to,digital single,Everything to,https://open.spotify.com/album/0KoqY8z0QLw4hwVvgEGdvn,https://itunes.apple.com/us/album/everything-to-single/1438089464,2018,10
5th,18:00,Yoo Hweseung (N.Flying) X O.ZO,Pop & Pop Collaborations #2,Kim Hyungsuk with Friends project single,Expectation,https://open.spotify.com/album/4QUMjdhdEX5wvUlCC0NxZM,https://itunes.apple.com/us/album/expectation-single/1438209506,2018,10
6th,18:00,Cherry Coke,Ilovemyvibe,digital single,Ilovemyvibe,https://open.spotify.com/album/1j3KzHuSJfI1hlYBKEdWbi,https://itunes.apple.com/us/album/ilovemyvibe-single/1438224049,2018,10
6th,18:00,Seven O'Clock,#7,mini album,Nothing Better / Searchlight,https://open.spotify.com/album/2vn5tXqWIHGLLfa0pYxvdP,https://itunes.apple.com/us/album/7-ep/1438370796,2018,10
6th,18:00,Various Artists,Show Me The Money 777 Episode 1,mini album,saimsaim / SF Skill / PAE / Good Day,https://open.spotify.com/album/3Heh3t93xHF918mqcIi0QB,https://itunes.apple.com/us/album/show-me-the-money-777-episode-1/1438199070,2018,10
7th,11:19,LAY (EXO),Give Me a Chance,pre-release single,Give Me a Chance,https://open.spotify.com/album/1D8ziLcedBmzGZsLqaUSUl,https://itunes.apple.com/us/album/give-me-a-chance-single/1437890563,2018,10
7th,18:00,"""Dongmakgol Girl"", Moon Myung-jin",King of Mask Singer 172,digital single,Please / Don't Say Goodbye,https://open.spotify.com/album/4oHeDLlv64FiPrbw5TV63m,https://itunes.apple.com/us/album/mask-singer-172th-live-version-single/1438344863,2018,10
1st,12:00,TST,PARADISE,single album,PARADISE,https://open.spotify.com/album/4dy9dWvFcCtEZ3mqYUXznS,None,2018,11
1st,12:00,Minzy,ALL OF YOU SAY,English digital single,ALL OF YOU SAY,https://open.spotify.com/album/2pS05aWuGezlTJza7v0Sxu,https://itunes.apple.com/gb/album/all-of-you-say-single/1445119941,2018,12
1st,18:00,Daehyun (B.A.P),BABY,debut digital single,Baby,https://open.spotify.com/album/2NZ52UGRkBUZ5XcOAJT5Ho,https://itunes.apple.com/gb/album/dae-hyun-1st-single-baby/1445400871,2018,12
1st,18:00,"Lee Sojeong, ""Eagle""",King Of Mask Singer 180,omnibus,If By Chance / Miss Havisham's Waltz,https://open.spotify.com/album/7J02w2liV1yA1XyxatEJsC,None,2018,12
1st,18:00,VIXX,Walking,fan song,Walking,https://open.spotify.com/album/6LVkZClK1TAmyDcANj8bmg,https://itunes.apple.com/gb/album/walking-single/1451164318,2019,2
2nd,12:00,Jiselle,Missed Call,debut digital single,Missed Call (feat. Chancellor),https://open.spotify.com/album/3q0XTRsc38qjouPeDRmUzk,https://itunes.apple.com/gb/album/missed-call-feat-chancellor-single/1451146193,2019,2
2nd,12:00,Moon Hyuna X The Lowkies,Stress Free,digital single,Stress Free,https://open.spotify.com/album/22KEONeKqX30Rl4FrgxOnf,https://itunes.apple.com/gb/album/stress-free-single/1451260943,2019,2
4th,18:00,Kim Hyun Joong (SS501),New Way,full-length album,Why,https://open.spotify.com/album/5YJW86mUkxzTgIPL7aJD42,https://itunes.apple.com/gb/album/new-way/1450979221,2019,2
6th,00:00,IZ*ONE,Suki to Iwasetai,Japanese debut single,Suki to Iwasetai,https://open.spotify.com/album/6esOExMaYIWvttAQYdn3Gb,https://itunes.apple.com/gb/album/sukito-iwasetai-wiz-one-edition-single/1450366348,2019,2
7th,18:00,Loco,HELLO,mini album,It's been a while (feat. Zion.T) (prod. by GRAY),https://open.spotify.com/album/0wQMtraDGsoUBzGMzd2dAP,https://itunes.apple.com/gb/album/hello-ep/1451804681,2019,2
7th,18:00,ONF,We Must Love,mini album,We Must Love,https://open.spotify.com/album/278ZE63sldNBIvueCAANl0,https://itunes.apple.com/gb/album/we-must-love-ep/1451265732,2019,2
8th,18:00,Hanhae,About Time,mini album,I Go,https://open.spotify.com/album/6WSPAHus6hsgAMIgZnoJZj,https://itunes.apple.com/gb/album/about-time-ep/1451937739,2019,2
8th,18:00,KYT,20th ANNIVERSARY 'REborn',20th anniversary full-length album,FACT,https://open.spotify.com/album/6vuEo0Fung4sT8uJfBWleQ,https://itunes.apple.com/gb/album/20th-anniversary-reborn/1451937581,2019,2
9th,18:00,Under Nineteen,Under Nineteen Final,digital single,Like A Magic / Shooting Star,https://open.spotify.com/album/4ypUc43Xp946ePF1pZTCLE,https://itunes.apple.com/gb/album/under-19-final-single/1452177786,2019,2
10th,12:00,Dal (S.I.S),Sad Love Story,digital single,Sad Love Story,https://open.spotify.com/album/58slx6vdbce1vZO9PQEjRU,https://itunes.apple.com/gb/album/sad-love-story-single/1451796165,2019,2
10th,18:00,JERO,Judge,digital single,Judge,https://open.spotify.com/album/08PTtA4N4Vfr8YRDBQZzIl,https://itunes.apple.com/gb/album/judge-single/1451929650,2019,2
10th,18:00,Parc Jae Jung,Listen 030 Ceiling,Mystic LISTEN project single,Ceiling,https://open.spotify.com/album/2J7vd6h4jKsAEK6JTiBVhm,https://itunes.apple.com/gb/album/ceiling-single/1452172557,2019,2
11th,12:00,Jisook,The way we were,pre-release single,The way we were,https://open.spotify.com/album/1btwtG75X4DKJiSur8rkFM,https://itunes.apple.com/gb/album/the-way-we-were-single/1452123048,2019,2
11th,18:00,Taemin (SHINee),WANT,mini album,WANT,https://open.spotify.com/album/7E01VOJ7gyYPz9HXUVeQeq,https://itunes.apple.com/gb/album/want-the-2nd-mini-album/1451783260,2019,2
11th,18:00,TST,Wake Up,single album,Wake Up,https://open.spotify.com/album/5wjVi9oaAWidSaKBSo4kEg,https://itunes.apple.com/gb/album/wake-up-ep/1452148950,2019,2
12th,12:00,Moti (PLT),WHSH,mini album,Go (feat. June),https://open.spotify.com/album/4PVi3HoGzcWiLKSt0icdM6,https://itunes.apple.com/gb/album/whsh-ep/1452437852,2019,2
12th,18:00,ITZY,IT'z Different,debut digital single,DALLA DALLA,https://open.spotify.com/album/2gHd5bCrj42s8nwwXBALd4,https://itunes.apple.com/gb/album/itz-different-single/1451909811,2019,2
12th,18:00,SE7EN,COLD,digital single,COLD,https://open.spotify.com/album/5OUT8J88xSvZepQDVvallD,https://itunes.apple.com/gb/album/cold-single/1452497222,2019,2
12th,18:00,SNH 7SENSES,SWAN,digital single,SWAN (Korean Ver.),https://open.spotify.com/album/7wGCKZrq9hUo7ObqmrDIIG,https://itunes.apple.com/gb/album/swan-single/1452498873,2019,2
12th,18:00,The Black Skirts,THIRSTY,full-length album,Island (Queen of Diamonds),https://open.spotify.com/album/7dSqbQ9mGpHdlkLk7rBFuO,https://itunes.apple.com/gb/album/thirsty/1452510454,2019,2
13th,00:00,Gfriend,Sunrise,Japanese single album,Sunrise (Japanese Ver.),https://open.spotify.com/album/0uTaDiCu1B3mepHbVDITl4,None,2019,2
13th,00:00,Pentagon,COSMO,Japanese single album,COSMO,https://open.spotify.com/album/40XBpd4rRwnKOj9RR0Pdwz,https://itunes.apple.com/gb/album/cosmo-ep/1449101016,2019,2
13th,18:00,Dreamcatcher,The End of Nightmare,mini album,PIRI,https://open.spotify.com/album/02YL02Pjk6moxi5iuYsIPC,https://itunes.apple.com/gb/album/the-end-of-nightmare-ep/1452479679,2019,2
13th,18:00,Hwasa (MAMAMOO),TWIT,debut digital single,TWIT,https://open.spotify.com/album/6KL4s0Y6Ijcj0QP1Nm1EVF,https://itunes.apple.com/gb/album/twit-single/1452787147,2019,2
13th,18:00,INFINITE,Clock,digital single,Clock,https://open.spotify.com/album/76fLpe8YKSqQ7yyQ9kMv3o,https://itunes.apple.com/gb/album/clock-single/1452787290,2019,2
13th,18:00,Saturday,Follow Saturday,single album,WiFi,https://open.spotify.com/album/6xyQPa9qMPxRHlcMDgDbay,https://itunes.apple.com/gb/album/the-2nd-single-album-follow-saturday/1452791090,2019,2
14th,00:00,Peniel (BTOB),Valentine,digital single,Valentine,None,None,2019,2
14th,12:00,9MUSES,Remember,digital single,Remember,https://open.spotify.com/album/5jHGdQ70hzjdgPtjoOgo2B,https://itunes.apple.com/gb/album/remember-single/1452962763,2019,2
14th,12:00,Heize,Run To You,digital single,Run To You,https://open.spotify.com/album/66LpaVbTu9g0myP35R123C,https://itunes.apple.com/gb/album/run-to-you-single/1453003748,2019,2
14th,12:00,Vanner,V,debut full-length album,Better Do Better,https://open.spotify.com/album/0WwS3OHZIoDpQFrNRwMxfj,https://itunes.apple.com/gb/album/v/1452958406,2019,2
14th,18:00,KEY (SHINee),Cold,SM STATION 3 project single,Cold (feat. Hanhae),https://open.spotify.com/album/6apYOPQqBSKnbDon2MBRTy,https://itunes.apple.com/gb/album/cold-feat-hanhae-single/1452462634,2019,2
14th,18:00,Park Jungmin (SS501),XTC,digital single,XTC,https://open.spotify.com/album/7ILNO7yAWJ8V0SKrrhOFhQ,https://itunes.apple.com/gb/album/xtc-single/1453000075,2019,2
15th,12:00,Babylon,Coats,digital single,Coats,None,None,2019,2
15th,12:00,Uk (24K),#dawn,debut mini album,#why,https://open.spotify.com/album/7swIh048sHdBeYaxHisLE1,https://itunes.apple.com/gb/album/dawn/1453126093,2019,2
16th,18:00,ASTRO,Korean Dream,One K Global Campaign single,Korean Dream,https://open.spotify.com/album/5VOcXZtNWigvYkXAU0NLlV,https://itunes.apple.com/gb/album/korean-dream-single/1453160656,2019,2
18th,18:00,MiSO (Girls Girls),ON N ON,digital single,ON N ON,https://open.spotify.com/album/3atsIlpYgv5DaSQteaLul0,https://itunes.apple.com/gb/album/on-n-on-single/1453350559,2019,2
18th,18:00,MONSTA X,TAKE 2: WE ARE HERE,full-length album,ALLIGATOR,https://open.spotify.com/album/2zLSiu6FFxav0kHP2mUUzM,https://itunes.apple.com/gb/album/take-2-we-are-here/1452704834,2019,2
18th,18:00,Nichkhun (2PM),ME,debut mini album,Lucky Charm,https://open.spotify.com/album/1oCkhUTrPkjvhap8sW1CVb,https://itunes.apple.com/gb/album/me/1453368813,2019,2
18th,18:00,Ravi (VIXX),live,pre-release single,live (feat. Chungha),https://open.spotify.com/album/4ueN3bifflTG1JNDDs0iaD,https://itunes.apple.com/gb/album/live-feat-chung-ha-single/1453344390,2019,2
19th,12:00,Space Project X Leo (VIXX),Feel Love,digital single,Feel Love,https://open.spotify.com/album/6GIwPM2bmgbxYiwxy7UOvC,https://itunes.apple.com/gb/album/space-project-ep/1453474242,2019,2
19th,18:00,LOONA,[X X],repackage mini album,Butterfly,https://open.spotify.com/album/2Ij6998NUjQ0BkQ2ipqiET,https://itunes.apple.com/gb/album/x-x-ep/1453510726,2019,2
19th,18:00,Suran,Hide And Seek,pre-release single,Hide And Seek (with Cho Jungchi),https://open.spotify.com/album/7ttphjk6H0f6fQ95WyOp5b,https://itunes.apple.com/gb/album/hide-and-seek-with-cho-jung-chi-single/1453354183,2019,2
1st,13:00,TPA,Super Asia,digital single,Super Asia (feat. iKON's Bobby & VaVa),https://open.spotify.com/album/37cEwf0dMIJIumdujsrSk2,https://itunes.apple.com/gb/album/super-asia-feat-bobby-vava-single/1454249973,2019,3
1st,18:00,VROMANCE,Same Night Different Feels,digital single,Same Night Different Feels,https://open.spotify.com/album/6bfleCLbvCxqrB2qmcsPeq,https://itunes.apple.com/gb/album/unlike-single/1455083360,2019,3
